<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.21	01:00:00	0.5732	0.5737	0.5672	0.5690	373	0	86
2025.06.21	02:00:00	0.5690	0.5732	0.5687	0.5732	328	0	86
2025.06.21	03:00:00	0.5732	0.5775	0.5729	0.5756	309	0	86
2025.06.21	04:00:00	0.5756	0.5819	0.5756	0.5818	224	0	86
2025.06.21	05:00:00	0.5818	0.5825	0.5793	0.5801	248	0	86
2025.06.21	06:00:00	0.5801	0.5825	0.5797	0.5803	217	0	86
2025.06.21	07:00:00	0.5803	0.5814	0.5796	0.5800	187	0	88
2025.06.21	08:00:00	0.5800	0.5820	0.5788	0.5812	301	0	88
2025.06.21	09:00:00	0.5812	0.5835	0.5789	0.5794	184	0	88
2025.06.21	10:00:00	0.5794	0.5794	0.5773	0.5783	214	0	86
2025.06.21	11:00:00	0.5783	0.5810	0.5772	0.5810	172	0	86
2025.06.21	12:00:00	0.5810	0.5821	0.5795	0.5805	250	0	86
2025.06.21	13:00:00	0.5806	0.5819	0.5789	0.5792	341	0	88
2025.06.21	14:00:00	0.5791	0.5808	0.5787	0.5798	243	0	86
2025.06.21	15:00:00	0.5798	0.5812	0.5765	0.5765	302	0	86
2025.06.21	16:00:00	0.5766	0.5783	0.5721	0.5722	456	0	86
2025.06.21	17:00:00	0.5723	0.5752	0.5712	0.5722	537	0	86
2025.06.21	18:00:00	0.5721	0.5729	0.5684	0.5715	435	0	86
2025.06.21	19:00:00	0.5714	0.5742	0.5684	0.5707	439	0	86
2025.06.21	20:00:00	0.5706	0.5728	0.5641	0.5651	538	0	86
2025.06.21	21:00:00	0.5650	0.5697	0.5632	0.5634	534	0	86
2025.06.21	22:00:00	0.5633	0.5648	0.5599	0.5602	637	0	82
2025.06.21	23:00:00	0.5602	0.5656	0.5595	0.5644	560	0	82
2025.06.22	00:00:00	0.5644	0.5650	0.5414	0.5473	490	0	82
2025.06.22	01:00:00	0.5473	0.5540	0.5459	0.5507	600	0	84
2025.06.22	02:00:00	0.5507	0.5531	0.5407	0.5522	694	0	80
2025.06.22	03:00:00	0.5522	0.5597	0.5471	0.5569	716	0	80
2025.06.22	04:00:00	0.5570	0.5586	0.5547	0.5554	275	0	80
2025.06.22	05:00:00	0.5489	0.5531	0.5417	0.5464	674	0	80
2025.06.22	06:00:00	0.5464	0.5485	0.5415	0.5436	621	0	80
2025.06.22	07:00:00	0.5436	0.5507	0.5421	0.5483	608	0	80
2025.06.22	08:00:00	0.5483	0.5521	0.5481	0.5515	538	0	80
2025.06.22	09:00:00	0.5515	0.5538	0.5493	0.5524	448	0	80
2025.06.22	10:00:00	0.5523	0.5527	0.5447	0.5447	467	0	80
2025.06.22	11:00:00	0.5448	0.5459	0.5424	0.5444	521	0	80
2025.06.22	12:00:00	0.5444	0.5462	0.5348	0.5353	638	0	80
2025.06.22	13:00:00	0.5354	0.5430	0.5347	0.5404	669	0	80
2025.06.22	14:00:00	0.5403	0.5443	0.5387	0.5421	573	0	80
2025.06.22	15:00:00	0.5421	0.5443	0.5366	0.5441	588	0	82
2025.06.22	16:00:00	0.5441	0.5467	0.5220	0.5270	811	0	80
2025.06.22	17:00:00	0.5270	0.5298	0.5165	0.5268	860	0	80
2025.06.22	18:00:00	0.5268	0.5288	0.5183	0.5192	555	0	78
2025.06.22	19:00:00	0.5192	0.5253	0.5166	0.5252	740	0	78
2025.06.22	20:00:00	0.5252	0.5317	0.5226	0.5288	670	0	78
2025.06.22	21:00:00	0.5289	0.5316	0.5237	0.5243	571	0	78
2025.06.22	22:00:00	0.5243	0.5255	0.5192	0.5205	507	0	78
2025.06.22	23:00:00	0.5205	0.5261	0.5064	0.5242	717	0	78
2025.06.23	00:00:00	0.5243	0.5276	0.5190	0.5214	500	0	76
2025.06.23	01:00:00	0.5214	0.5361	0.5213	0.5359	656	0	76
2025.06.23	02:00:00	0.5359	0.5378	0.5340	0.5378	440	0	76
2025.06.23	03:00:00	0.5377	0.5424	0.5356	0.5387	562	0	80
2025.06.23	04:00:00	0.5387	0.5413	0.5354	0.5412	372	0	80
2025.06.23	05:00:00	0.5413	0.5421	0.5395	0.5414	380	0	80
2025.06.23	06:00:00	0.5413	0.5440	0.5404	0.5416	385	0	80
2025.06.23	07:00:00	0.5416	0.5439	0.5399	0.5424	306	0	80
2025.06.23	08:00:00	0.5424	0.5456	0.5422	0.5445	398	0	80
2025.06.23	09:00:00	0.5446	0.5466	0.5424	0.5449	422	0	82
2025.06.23	10:00:00	0.5450	0.5481	0.5431	0.5447	451	0	80
2025.06.23	11:00:00	0.5446	0.5464	0.5422	0.5436	409	0	80
2025.06.23	12:00:00	0.5438	0.5438	0.5400	0.5411	317	0	80
2025.06.23	13:00:00	0.5411	0.5413	0.5364	0.5389	193	0	80
2025.06.23	14:00:00	0.5389	0.5401	0.5363	0.5394	360	0	80
2025.06.23	15:00:00	0.5393	0.5434	0.5356	0.5434	325	0	80
2025.06.23	16:00:00	0.5434	0.5511	0.5340	0.5492	733	0	80
2025.06.23	17:00:00	0.5491	0.5526	0.5430	0.5439	783	0	80
2025.06.23	18:00:00	0.5440	0.5470	0.5380	0.5385	590	0	80
2025.06.23	19:00:00	0.5385	0.5393	0.5250	0.5307	626	0	82
2025.06.23	20:00:00	0.5307	0.5490	0.5293	0.5445	855	0	80
2025.06.23	21:00:00	0.5446	0.5507	0.5446	0.5486	691	0	80
2025.06.23	22:00:00	0.5486	0.5520	0.5473	0.5513	484	0	80
2025.06.23	23:00:00	0.5512	0.5627	0.5497	0.5560	669	0	80
2025.06.24	00:00:00	0.5561	0.5623	0.5561	0.5608	455	0	80
2025.06.24	01:00:00	0.5610	0.5822	0.5608	0.5799	753	0	82
2025.06.24	02:00:00	0.5800	0.5809	0.5769	0.5785	547	0	82
2025.06.24	03:00:00	0.5785	0.5806	0.5739	0.5753	472	0	84
2025.06.24	04:00:00	0.5758	0.5778	0.5743	0.5774	429	0	84
2025.06.24	05:00:00	0.5771	0.5772	0.5725	0.5733	416	0	86
2025.06.24	06:00:00	0.5731	0.5779	0.5731	0.5761	385	0	86
2025.06.24	07:00:00	0.5759	0.5783	0.5750	0.5777	408	0	86
2025.06.24	08:00:00	0.5777	0.5892	0.5772	0.5890	416	0	86
2025.06.24	09:00:00	0.5890	0.5895	0.5840	0.5880	504	0	86
2025.06.24	10:00:00	0.5878	0.5893	0.5780	0.5781	561	0	86
2025.06.24	11:00:00	0.5781	0.5790	0.5736	0.5759	595	0	88
2025.06.24	12:00:00	0.5757	0.5832	0.5754	0.5786	439	0	86
2025.06.24	13:00:00	0.5783	0.5803	0.5769	0.5787	423	0	86
2025.06.24	14:00:00	0.5786	0.5810	0.5751	0.5810	451	0	86
2025.06.24	15:00:00	0.5810	0.5836	0.5777	0.5798	556	0	86
2025.06.24	16:00:00	0.5798	0.5814	0.5759	0.5777	681	0	84
2025.06.24	17:00:00	0.5776	0.5844	0.5776	0.5818	632	0	84
2025.06.24	18:00:00	0.5820	0.5840	0.5769	0.5796	615	0	84
2025.06.24	19:00:00	0.5797	0.5882	0.5787	0.5882	559	0	88
2025.06.24	20:00:00	0.5882	0.5883	0.5802	0.5822	596	0	84
2025.06.24	21:00:00	0.5823	0.5832	0.5779	0.5781	569	0	84
2025.06.24	22:00:00	0.5780	0.5799	0.5755	0.5788	453	0	84
2025.06.24	23:00:00	0.5785	0.5832	0.5770	0.5832	359	0	86
2025.06.25	00:00:00	0.5831	0.5835	0.5796	0.5830	333	0	86
2025.06.25	01:00:00	0.5827	0.5831	0.5796	0.5825	381	0	88
2025.06.25	02:00:00	0.5825	0.5835	0.5800	0.5835	327	0	86
2025.06.25	03:00:00	0.5835	0.5858	0.5800	0.5855	463	0	86
2025.06.25	04:00:00	0.5853	0.5860	0.5813	0.5837	483	0	86
2025.06.25	05:00:00	0.5839	0.5866	0.5815	0.5819	608	0	86
2025.06.25	06:00:00	0.5821	0.5840	0.5799	0.5801	490	0	86
2025.06.25	07:00:00	0.5801	0.5804	0.5773	0.5784	227	0	86
2025.06.25	08:00:00	0.5784	0.5793	0.5762	0.5770	283	0	86
2025.06.25	09:00:00	0.5771	0.5791	0.5756	0.5790	390	0	88
2025.06.25	10:00:00	0.5790	0.5819	0.5770	0.5809	356	0	86
2025.06.25	11:00:00	0.5810	0.5813	0.5738	0.5761	310	0	86
2025.06.25	12:00:00	0.5761	0.5778	0.5707	0.5724	419	0	86
2025.06.25	13:00:00	0.5724	0.5751	0.5708	0.5743	495	0	86
2025.06.25	14:00:00	0.5742	0.5774	0.5720	0.5765	385	0	86
2025.06.25	15:00:00	0.5765	0.5765	0.5712	0.5730	397	0	86
2025.06.25	16:00:00	0.5729	0.5817	0.5715	0.5793	539	0	84
2025.06.25	17:00:00	0.5793	0.5797	0.5678	0.5724	613	0	84
2025.06.25	18:00:00	0.5724	0.5725	0.5622	0.5632	502	0	84
2025.06.25	19:00:00	0.5630	0.5665	0.5597	0.5612	427	0	86
2025.06.25	20:00:00	0.5612	0.5682	0.5609	0.5658	483	0	82
2025.06.25	21:00:00	0.5656	0.5659	0.5624	0.5636	513	0	82
2025.06.25	22:00:00	0.5636	0.5688	0.5633	0.5676	420	0	82
2025.06.25	23:00:00	0.5675	0.5690	0.5660	0.5688	431	0	84
2025.06.26	00:00:00	0.5687	0.5706	0.5636	0.5646	365	0	84
2025.06.26	01:00:00	0.5645	0.5645	0.5608	0.5620	465	0	84
2025.06.26	02:00:00	0.5619	0.5633	0.5598	0.5632	213	0	84
2025.06.26	03:00:00	0.5633	0.5658	0.5621	0.5654	296	0	84
2025.06.26	04:00:00	0.5654	0.5721	0.5622	0.5676	528	0	84
2025.06.26	05:00:00	0.5677	0.5744	0.5676	0.5735	409	0	84
2025.06.26	06:00:00	0.5734	0.5774	0.5688	0.5697	459	0	84
2025.06.26	07:00:00	0.5698	0.5707	0.5650	0.5677	478	0	84
2025.06.26	08:00:00	0.5678	0.5679	0.5639	0.5656	487	0	84
2025.06.26	09:00:00	0.5656	0.5678	0.5649	0.5670	420	0	84
2025.06.26	10:00:00	0.5670	0.5712	0.5666	0.5685	377	0	84
2025.06.26	11:00:00	0.5685	0.5711	0.5659	0.5664	340	0	84
2025.06.26	12:00:00	0.5664	0.5670	0.5600	0.5601	264	0	84
2025.06.26	13:00:00	0.5600	0.5622	0.5593	0.5611	374	0	86
2025.06.26	14:00:00	0.5609	0.5617	0.5595	0.5595	357	0	84
2025.06.26	15:00:00	0.5596	0.5600	0.5530	0.5534	465	0	84
2025.06.26	16:00:00	0.5534	0.5540	0.5479	0.5486	589	0	82
2025.06.26	17:00:00	0.5485	0.5557	0.5470	0.5513	582	0	82
2025.06.26	18:00:00	0.5514	0.5540	0.5462	0.5508	593	0	82
2025.06.26	19:00:00	0.5508	0.5513	0.5466	0.5480	467	0	82
2025.06.26	20:00:00	0.5480	0.5520	0.5480	0.5496	546	0	82
2025.06.26	21:00:00	0.5496	0.5539	0.5490	0.5504	536	0	82
2025.06.26	22:00:00	0.5503	0.5534	0.5493	0.5518	479	0	82
2025.06.26	23:00:00	0.5515	0.5597	0.5506	0.5562	386	0	82
2025.06.27	00:00:00	0.5562	0.5562	0.5473	0.5519	458	0	82
2025.06.27	01:00:00	0.5518	0.5542	0.5479	0.5480	512	0	82
2025.06.27	02:00:00	0.5481	0.5510	0.5477	0.5503	471	0	82
2025.06.27	03:00:00	0.5504	0.5522	0.5473	0.5473	406	0	82
2025.06.27	04:00:00	0.5473	0.5538	0.5456	0.5523	366	0	82
2025.06.27	05:00:00	0.5523	0.5563	0.5514	0.5552	178	0	82
2025.06.27	06:00:00	0.5552	0.5572	0.5533	0.5560	312	0	82
2025.06.27	07:00:00	0.5560	0.5560	0.5539	0.5545	358	0	82
2025.06.27	08:00:00	0.5546	0.5565	0.5507	0.5509	375	0	82
2025.06.27	09:00:00	0.5509	0.5536	0.5505	0.5532	442	0	82
2025.06.27	10:00:00	0.5531	0.5565	0.5496	0.5500	408	0	80
