<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	00:00:00	0.64266	0.64332	0.64220	0.64233	240	0	16
2025.06.23	01:00:00	0.64234	0.64420	0.64146	0.64395	1940	0	9
2025.06.23	02:00:00	0.64400	0.64484	0.64386	0.64452	1523	0	9
2025.06.23	03:00:00	0.64452	0.64462	0.64271	0.64361	2330	0	9
2025.06.23	04:00:00	0.64361	0.64422	0.64189	0.64261	2930	0	9
2025.06.23	05:00:00	0.64260	0.64315	0.64105	0.64119	2259	0	9
2025.06.23	06:00:00	0.64119	0.64144	0.63974	0.64028	2411	0	9
2025.06.23	07:00:00	0.64028	0.64090	0.63996	0.64045	1888	0	9
2025.06.23	08:00:00	0.64041	0.64119	0.64012	0.64118	2139	0	9
2025.06.23	09:00:00	0.64117	0.64217	0.64097	0.64207	2789	0	9
2025.06.23	10:00:00	0.64208	0.64272	0.64170	0.64201	2665	0	9
2025.06.23	11:00:00	0.64201	0.64212	0.64008	0.64019	2001	0	9
2025.06.23	12:00:00	0.64020	0.64026	0.63789	0.63796	2647	0	9
2025.06.23	13:00:00	0.63794	0.63846	0.63755	0.63789	2192	0	9
2025.06.23	14:00:00	0.63789	0.63874	0.63722	0.63869	2087	0	9
2025.06.23	15:00:00	0.63870	0.63914	0.63798	0.63906	2633	0	9
2025.06.23	16:00:00	0.63907	0.64065	0.63848	0.64032	2966	0	9
2025.06.23	17:00:00	0.64032	0.64331	0.64032	0.64298	4277	0	9
2025.06.23	18:00:00	0.64300	0.64389	0.64198	0.64207	2991	0	9
2025.06.23	19:00:00	0.64207	0.64337	0.64074	0.64208	4026	0	9
2025.06.23	20:00:00	0.64209	0.64530	0.64182	0.64503	3976	0	9
2025.06.23	21:00:00	0.64504	0.64572	0.64470	0.64547	2583	0	9
2025.06.23	22:00:00	0.64548	0.64577	0.64519	0.64560	1378	0	9
2025.06.23	23:00:00	0.64560	0.64630	0.64537	0.64588	865	0	9
2025.06.24	00:00:00	0.64553	0.64589	0.64536	0.64569	209	0	12
2025.06.24	01:00:00	0.64569	0.64768	0.64561	0.64727	2071	0	9
2025.06.24	02:00:00	0.64727	0.64864	0.64679	0.64768	2460	0	9
2025.06.24	03:00:00	0.64768	0.64833	0.64707	0.64798	3109	0	9
2025.06.24	04:00:00	0.64798	0.64859	0.64747	0.64800	2776	0	9
2025.06.24	05:00:00	0.64800	0.64924	0.64753	0.64918	2283	0	9
2025.06.24	06:00:00	0.64919	0.64963	0.64868	0.64903	1543	0	9
2025.06.24	07:00:00	0.64903	0.64975	0.64852	0.64954	1543	0	9
2025.06.24	08:00:00	0.64954	0.64974	0.64905	0.64957	1501	0	9
2025.06.24	09:00:00	0.64961	0.65129	0.64933	0.65096	3084	0	9
2025.06.24	10:00:00	0.65096	0.65125	0.64877	0.64929	3627	0	9
2025.06.24	11:00:00	0.64930	0.65050	0.64925	0.65026	2172	0	9
2025.06.24	12:00:00	0.65025	0.65150	0.65022	0.65093	1722	0	9
2025.06.24	13:00:00	0.65091	0.65104	0.65058	0.65080	1538	0	9
2025.06.24	14:00:00	0.65077	0.65154	0.65064	0.65083	1753	0	9
2025.06.24	15:00:00	0.65081	0.65114	0.65001	0.65031	1958	0	9
2025.06.24	16:00:00	0.65033	0.65059	0.64865	0.64901	2915	0	9
2025.06.24	17:00:00	0.64901	0.65189	0.64900	0.65064	3914	0	9
2025.06.24	18:00:00	0.65063	0.65170	0.64967	0.64971	2521	0	9
2025.06.24	19:00:00	0.64973	0.65052	0.64932	0.65050	1601	0	9
2025.06.24	20:00:00	0.65050	0.65095	0.65031	0.65070	1682	0	9
2025.06.24	21:00:00	0.65071	0.65082	0.65030	0.65044	1301	0	9
2025.06.24	22:00:00	0.65044	0.65059	0.64967	0.64972	1394	0	9
2025.06.24	23:00:00	0.64971	0.64996	0.64877	0.64886	908	0	9
2025.06.25	00:00:00	0.64868	0.64902	0.64867	0.64886	293	0	12
2025.06.25	01:00:00	0.64886	0.64903	0.64875	0.64885	529	0	9
2025.06.25	02:00:00	0.64886	0.64951	0.64884	0.64948	817	0	9
2025.06.25	03:00:00	0.64949	0.65003	0.64907	0.64977	1689	0	9
2025.06.25	04:00:00	0.64976	0.65073	0.64883	0.65039	2501	0	9
2025.06.25	05:00:00	0.65038	0.65049	0.64974	0.65046	1996	0	9
