<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	01:00:00	75.55	75.81	74.76	74.86	774	0	4
2025.06.23	02:00:00	74.85	75.39	74.81	75.31	826	0	2
2025.06.23	03:00:00	75.30	75.68	75.16	75.43	758	0	2
2025.06.23	04:00:00	75.42	75.58	74.55	74.84	1192	0	2
2025.06.23	05:00:00	74.84	75.06	74.62	74.79	801	0	15
2025.06.23	06:00:00	74.78	74.91	74.46	74.83	510	0	6
2025.06.23	07:00:00	74.84	74.92	74.54	74.54	260	0	6
2025.06.23	08:00:00	74.54	74.68	74.08	74.64	634	0	2
2025.06.23	09:00:00	74.63	74.70	74.36	74.49	635	0	2
2025.06.23	10:00:00	74.50	74.57	73.55	73.73	1535	0	2
2025.06.23	11:00:00	73.74	73.80	72.81	73.39	1844	0	2
2025.06.23	12:00:00	73.39	73.99	73.38	73.98	1295	0	2
2025.06.23	13:00:00	73.96	74.44	73.75	74.25	1440	0	2
2025.06.23	14:00:00	74.24	74.58	73.91	73.98	1179	0	2
2025.06.23	15:00:00	73.99	74.02	73.00	73.41	1615	0	2
2025.06.23	16:00:00	73.43	74.11	73.02	73.36	3203	0	2
2025.06.23	17:00:00	73.35	73.39	72.27	72.73	2883	0	2
2025.06.23	18:00:00	72.74	73.78	72.58	73.42	2661	0	2
2025.06.23	19:00:00	73.43	73.99	71.23	71.96	3928	0	2
2025.06.23	20:00:00	71.98	72.00	68.71	69.02	5532	0	2
2025.06.23	21:00:00	69.05	69.20	68.00	68.21	3616	0	2
2025.06.23	22:00:00	68.20	68.61	67.66	67.69	1293	0	2
2025.06.23	23:00:00	67.70	67.75	66.42	66.95	1512	0	2
2025.06.24	01:00:00	67.24	67.45	64.69	65.31	1094	0	2
2025.06.24	02:00:00	65.31	65.51	64.00	65.51	682	0	2
2025.06.24	03:00:00	65.52	66.09	65.00	65.67	2043	0	15
2025.06.24	04:00:00	65.66	66.28	65.61	66.05	1549	0	6
2025.06.24	05:00:00	66.04	66.92	66.03	66.50	1427	0	2
2025.06.24	06:00:00	66.51	66.62	65.91	66.51	834	0	2
2025.06.24	07:00:00	66.53	66.67	66.10	66.26	449	0	2
2025.06.24	08:00:00	66.28	66.32	65.38	65.56	627	0	2
2025.06.24	09:00:00	65.56	65.58	64.39	65.16	1930	0	2
2025.06.24	10:00:00	65.16	66.64	65.16	66.13	3012	0	2
2025.06.24	11:00:00	66.12	66.64	65.60	65.95	2825	0	2
2025.06.24	12:00:00	65.94	66.18	65.68	66.00	1585	0	2
2025.06.24	13:00:00	66.01	66.53	65.87	66.32	1540	0	2
2025.06.24	14:00:00	66.30	66.42	65.57	65.78	1862	0	2
2025.06.24	15:00:00	65.77	65.84	65.15	65.55	1988	0	2
2025.06.24	16:00:00	65.51	66.10	64.58	65.21	3787	0	2
2025.06.24	17:00:00	65.20	65.28	64.45	64.96	2499	0	2
2025.06.24	18:00:00	64.97	65.20	64.21	64.26	2296	0	2
2025.06.24	19:00:00	64.25	64.40	63.72	63.93	1504	0	2
2025.06.24	20:00:00	63.92	64.61	63.90	64.55	1021	0	2
2025.06.24	21:00:00	64.56	64.59	63.99	64.37	1302	0	2
2025.06.24	22:00:00	64.38	64.80	64.19	64.63	670	0	2
2025.06.24	23:00:00	64.64	64.79	64.58	64.63	354	0	3
2025.06.25	01:00:00	64.72	65.02	64.62	64.69	320	0	2
2025.06.25	02:00:00	64.68	64.71	64.60	64.70	114	0	16
2025.06.25	03:00:00	64.71	64.78	64.58	64.63	245	0	15
2025.06.25	04:00:00	64.64	64.92	64.64	64.83	496	0	15
2025.06.25	05:00:00	64.84	64.93	64.71	64.77	309	0	15
2025.06.25	06:00:00	64.77	64.94	64.74	64.78	246	0	15
2025.06.25	07:00:00	64.78	64.90	64.67	64.74	153	0	8
2025.06.25	08:00:00	64.85	65.08	64.65	65.02	188	0	2
2025.06.25	09:00:00	65.01	65.13	64.81	65.12	439	0	5
2025.06.25	10:00:00	65.12	65.24	65.01	65.09	765	0	2
2025.06.25	11:00:00	65.11	65.13	64.68	64.90	1131	0	2
2025.06.25	12:00:00	64.89	64.92	64.47	64.72	854	0	9
2025.06.25	13:00:00	64.71	64.71	64.37	64.58	573	0	5
2025.06.25	14:00:00	64.59	64.62	64.14	64.36	754	0	2
2025.06.25	15:00:00	64.38	64.68	64.15	64.66	910	0	2
2025.06.25	16:00:00	64.65	64.89	64.34	64.49	1409	0	2
2025.06.25	17:00:00	64.49	65.10	64.37	64.84	2328	0	2
2025.06.25	18:00:00	64.84	65.26	64.82	65.14	1702	0	2
2025.06.25	19:00:00	65.16	65.58	65.02	65.22	1143	0	2
2025.06.25	20:00:00	65.22	65.38	64.86	64.87	995	0	2
2025.06.25	21:00:00	64.88	64.97	64.44	64.83	1194	0	2
2025.06.25	22:00:00	64.82	64.87	64.66	64.78	345	0	2
2025.06.25	23:00:00	64.77	64.78	64.41	64.43	195	0	3
2025.06.26	01:00:00	64.47	64.77	64.46	64.74	180	0	7
2025.06.26	02:00:00	64.73	64.75	64.51	64.53	140	0	6
2025.06.26	03:00:00	64.54	64.63	64.39	64.59	244	0	6
