<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.21	01:00:00	0.1612	0.1612	0.1599	0.1605	186	0	24
2025.06.21	02:00:00	0.1605	0.1613	0.1602	0.1612	173	0	24
2025.06.21	03:00:00	0.1612	0.1619	0.1608	0.1613	201	0	24
2025.06.21	04:00:00	0.1613	0.1624	0.1612	0.1624	128	0	24
2025.06.21	05:00:00	0.1624	0.1626	0.1617	0.1617	117	0	24
2025.06.21	06:00:00	0.1617	0.1626	0.1617	0.1622	112	0	24
2025.06.21	07:00:00	0.1622	0.1623	0.1618	0.1621	96	0	24
2025.06.21	08:00:00	0.1620	0.1622	0.1619	0.1621	126	0	22
2025.06.21	09:00:00	0.1621	0.1621	0.1618	0.1620	110	0	22
2025.06.21	10:00:00	0.1620	0.1621	0.1614	0.1616	93	0	22
2025.06.21	11:00:00	0.1616	0.1627	0.1615	0.1627	128	0	24
2025.06.21	12:00:00	0.1627	0.1630	0.1622	0.1628	99	0	24
2025.06.21	13:00:00	0.1628	0.1630	0.1621	0.1624	105	0	24
2025.06.21	14:00:00	0.1624	0.1627	0.1620	0.1621	144	0	24
2025.06.21	15:00:00	0.1621	0.1623	0.1611	0.1611	148	0	24
2025.06.21	16:00:00	0.1611	0.1613	0.1590	0.1593	231	0	24
2025.06.21	17:00:00	0.1593	0.1602	0.1590	0.1592	278	0	24
2025.06.21	18:00:00	0.1592	0.1594	0.1579	0.1591	259	0	24
2025.06.21	19:00:00	0.1590	0.1598	0.1584	0.1591	224	0	24
2025.06.21	20:00:00	0.1593	0.1598	0.1570	0.1578	266	0	24
2025.06.21	21:00:00	0.1578	0.1587	0.1562	0.1564	253	0	24
2025.06.21	22:00:00	0.1564	0.1573	0.1561	0.1561	398	0	24
2025.06.21	23:00:00	0.1561	0.1577	0.1559	0.1574	306	0	24
2025.06.22	00:00:00	0.1574	0.1576	0.1493	0.1515	391	0	22
2025.06.22	01:00:00	0.1515	0.1534	0.1514	0.1528	290	0	22
2025.06.22	02:00:00	0.1528	0.1536	0.1503	0.1534	400	0	22
2025.06.22	03:00:00	0.1534	0.1566	0.1527	0.1559	421	0	22
2025.06.22	04:00:00	0.1559	0.1562	0.1544	0.1545	141	0	22
2025.06.22	05:00:00	0.1536	0.1548	0.1516	0.1531	368	0	22
2025.06.22	06:00:00	0.1531	0.1543	0.1526	0.1535	268	0	22
2025.06.22	07:00:00	0.1535	0.1553	0.1531	0.1551	251	0	22
2025.06.22	08:00:00	0.1550	0.1559	0.1547	0.1555	194	0	22
2025.06.22	09:00:00	0.1555	0.1562	0.1553	0.1559	162	0	22
2025.06.22	10:00:00	0.1559	0.1562	0.1549	0.1551	251	0	22
2025.06.22	11:00:00	0.1551	0.1557	0.1545	0.1553	229	0	24
2025.06.22	12:00:00	0.1553	0.1560	0.1526	0.1527	281	0	24
2025.06.22	13:00:00	0.1527	0.1546	0.1525	0.1538	329	0	24
2025.06.22	14:00:00	0.1539	0.1553	0.1538	0.1545	253	0	22
2025.06.22	15:00:00	0.1545	0.1553	0.1531	0.1543	289	0	22
2025.06.22	16:00:00	0.1543	0.1547	0.1458	0.1479	561	0	22
2025.06.22	17:00:00	0.1479	0.1488	0.1443	0.1475	578	0	22
2025.06.22	18:00:00	0.1475	0.1482	0.1449	0.1451	346	0	22
2025.06.22	19:00:00	0.1451	0.1474	0.1446	0.1473	453	0	22
2025.06.22	20:00:00	0.1473	0.1492	0.1469	0.1489	309	0	20
2025.06.22	21:00:00	0.1489	0.1495	0.1474	0.1476	222	0	20
2025.06.22	22:00:00	0.1476	0.1478	0.1460	0.1462	231	0	20
2025.06.22	23:00:00	0.1463	0.1476	0.1416	0.1469	481	0	22
2025.06.23	00:00:00	0.1470	0.1479	0.1448	0.1451	284	0	22
2025.06.23	01:00:00	0.1451	0.1498	0.1451	0.1498	386	0	22
2025.06.23	02:00:00	0.1499	0.1506	0.1493	0.1502	296	0	22
2025.06.23	03:00:00	0.1502	0.1519	0.1499	0.1505	339	0	22
2025.06.23	04:00:00	0.1504	0.1515	0.1496	0.1515	257	0	22
2025.06.23	05:00:00	0.1515	0.1516	0.1509	0.1515	242	0	22
2025.06.23	06:00:00	0.1515	0.1519	0.1510	0.1511	227	0	22
2025.06.23	07:00:00	0.1511	0.1522	0.1508	0.1516	177	0	22
2025.06.23	08:00:00	0.1516	0.1536	0.1516	0.1532	187	0	22
2025.06.23	09:00:00	0.1532	0.1538	0.1527	0.1533	156	0	22
2025.06.23	10:00:00	0.1533	0.1539	0.1524	0.1528	207	0	22
2025.06.23	11:00:00	0.1527	0.1534	0.1520	0.1524	187	0	22
2025.06.23	12:00:00	0.1523	0.1524	0.1513	0.1517	182	0	22
2025.06.23	13:00:00	0.1518	0.1518	0.1503	0.1509	121	0	22
2025.06.23	14:00:00	0.1509	0.1512	0.1501	0.1511	164	0	22
2025.06.23	15:00:00	0.1511	0.1529	0.1506	0.1529	236	0	22
2025.06.23	16:00:00	0.1529	0.1546	0.1501	0.1544	429	0	22
2025.06.23	17:00:00	0.1544	0.1554	0.1524	0.1527	420	0	22
2025.06.23	18:00:00	0.1527	0.1541	0.1512	0.1514	321	0	22
2025.06.23	19:00:00	0.1514	0.1516	0.1476	0.1495	460	0	22
2025.06.23	20:00:00	0.1494	0.1545	0.1490	0.1544	528	0	22
2025.06.23	21:00:00	0.1545	0.1566	0.1542	0.1553	386	0	22
2025.06.23	22:00:00	0.1553	0.1565	0.1551	0.1562	330	0	22
2025.06.23	23:00:00	0.1561	0.1591	0.1558	0.1578	324	0	24
2025.06.24	00:00:00	0.1579	0.1582	0.1570	0.1575	223	0	24
2025.06.24	01:00:00	0.1576	0.1639	0.1576	0.1635	474	0	24
2025.06.24	02:00:00	0.1636	0.1641	0.1626	0.1627	294	0	24
2025.06.24	03:00:00	0.1627	0.1633	0.1612	0.1619	254	0	24
2025.06.24	04:00:00	0.1619	0.1629	0.1617	0.1622	231	0	24
2025.06.24	05:00:00	0.1622	0.1623	0.1608	0.1611	204	0	24
2025.06.24	06:00:00	0.1611	0.1622	0.1609	0.1619	200	0	22
2025.06.24	07:00:00	0.1619	0.1625	0.1615	0.1621	181	0	22
2025.06.24	08:00:00	0.1621	0.1657	0.1620	0.1657	237	0	22
2025.06.24	09:00:00	0.1657	0.1665	0.1647	0.1658	266	0	24
2025.06.24	10:00:00	0.1657	0.1658	0.1616	0.1620	339	0	24
2025.06.24	11:00:00	0.1620	0.1630	0.1611	0.1625	336	0	24
2025.06.24	12:00:00	0.1624	0.1641	0.1619	0.1625	247	0	24
2025.06.24	13:00:00	0.1624	0.1628	0.1620	0.1627	192	0	24
2025.06.24	14:00:00	0.1627	0.1629	0.1614	0.1625	191	0	24
2025.06.24	15:00:00	0.1625	0.1628	0.1615	0.1619	234	0	24
2025.06.24	16:00:00	0.1619	0.1624	0.1606	0.1616	351	0	24
2025.06.24	17:00:00	0.1615	0.1634	0.1615	0.1626	384	0	24
2025.06.24	18:00:00	0.1627	0.1636	0.1616	0.1624	366	0	24
2025.06.24	19:00:00	0.1625	0.1652	0.1622	0.1652	318	0	24
2025.06.24	20:00:00	0.1652	0.1653	0.1627	0.1636	284	0	24
2025.06.24	21:00:00	0.1636	0.1639	0.1622	0.1628	213	0	24
2025.06.24	22:00:00	0.1628	0.1634	0.1617	0.1626	226	0	24
2025.06.24	23:00:00	0.1625	0.1642	0.1624	0.1641	182	0	24
2025.06.25	00:00:00	0.1641	0.1641	0.1632	0.1640	145	0	24
2025.06.25	01:00:00	0.1640	0.1641	0.1630	0.1640	195	0	24
2025.06.25	02:00:00	0.1640	0.1646	0.1634	0.1646	169	0	24
2025.06.25	03:00:00	0.1646	0.1653	0.1635	0.1651	194	0	24
2025.06.25	04:00:00	0.1650	0.1652	0.1638	0.1648	256	0	24
2025.06.25	05:00:00	0.1649	0.1658	0.1648	0.1652	263	0	24
2025.06.25	06:00:00	0.1652	0.1653	0.1643	0.1643	205	0	24
2025.06.25	07:00:00	0.1643	0.1644	0.1632	0.1637	177	0	24
2025.06.25	08:00:00	0.1637	0.1643	0.1635	0.1639	210	0	24
2025.06.25	09:00:00	0.1639	0.1656	0.1636	0.1654	144	0	24
2025.06.25	10:00:00	0.1654	0.1662	0.1649	0.1653	166	0	24
2025.06.25	11:00:00	0.1653	0.1654	0.1637	0.1643	152	0	24
2025.06.25	12:00:00	0.1643	0.1654	0.1635	0.1640	217	0	24
2025.06.25	13:00:00	0.1640	0.1649	0.1635	0.1641	271	0	24
2025.06.25	14:00:00	0.1641	0.1646	0.1632	0.1645	185	0	24
2025.06.25	15:00:00	0.1645	0.1645	0.1633	0.1639	206	0	24
2025.06.25	16:00:00	0.1639	0.1665	0.1635	0.1656	372	0	24
2025.06.25	17:00:00	0.1656	0.1660	0.1623	0.1637	405	0	24
2025.06.25	18:00:00	0.1637	0.1638	0.1615	0.1619	252	0	24
2025.06.25	19:00:00	0.1619	0.1635	0.1619	0.1626	255	0	24
2025.06.25	20:00:00	0.1626	0.1650	0.1623	0.1647	239	0	24
2025.06.25	21:00:00	0.1647	0.1647	0.1634	0.1638	196	0	24
2025.06.25	22:00:00	0.1638	0.1653	0.1638	0.1649	186	0	24
2025.06.25	23:00:00	0.1649	0.1653	0.1643	0.1653	170	0	24
2025.06.26	00:00:00	0.1652	0.1657	0.1640	0.1643	145	0	24
2025.06.26	01:00:00	0.1642	0.1642	0.1630	0.1632	212	0	24
2025.06.26	02:00:00	0.1632	0.1635	0.1625	0.1635	223	0	24
2025.06.26	03:00:00	0.1635	0.1643	0.1633	0.1636	205	0	24
2025.06.26	04:00:00	0.1635	0.1654	0.1629	0.1645	282	0	24
2025.06.26	05:00:00	0.1645	0.1655	0.1638	0.1654	231	0	24
2025.06.26	06:00:00	0.1654	0.1668	0.1646	0.1648	265	0	24
2025.06.26	07:00:00	0.1648	0.1649	0.1636	0.1643	187	0	24
2025.06.26	08:00:00	0.1642	0.1642	0.1629	0.1631	154	0	24
2025.06.26	09:00:00	0.1631	0.1642	0.1629	0.1636	153	0	24
2025.06.26	10:00:00	0.1635	0.1645	0.1633	0.1638	163	0	24
2025.06.26	11:00:00	0.1638	0.1643	0.1632	0.1632	151	0	24
2025.06.26	12:00:00	0.1632	0.1634	0.1614	0.1614	139	0	24
2025.06.26	13:00:00	0.1614	0.1618	0.1606	0.1611	157	0	24
2025.06.26	14:00:00	0.1610	0.1611	0.1601	0.1604	151	0	24
2025.06.26	15:00:00	0.1605	0.1606	0.1591	0.1592	238	0	24
2025.06.26	16:00:00	0.1592	0.1596	0.1571	0.1575	305	0	24
2025.06.26	17:00:00	0.1574	0.1596	0.1568	0.1588	302	0	24
2025.06.26	18:00:00	0.1589	0.1595	0.1574	0.1590	310	0	24
2025.06.26	19:00:00	0.1590	0.1591	0.1581	0.1582	240	0	24
2025.06.26	20:00:00	0.1584	0.1592	0.1583	0.1586	197	0	24
2025.06.26	21:00:00	0.1586	0.1595	0.1584	0.1590	245	0	24
2025.06.26	22:00:00	0.1590	0.1601	0.1587	0.1597	185	0	24
2025.06.26	23:00:00	0.1597	0.1625	0.1596	0.1611	185	0	24
2025.06.27	00:00:00	0.1611	0.1611	0.1580	0.1593	240	0	24
2025.06.27	01:00:00	0.1592	0.1597	0.1582	0.1583	228	0	24
2025.06.27	02:00:00	0.1583	0.1591	0.1582	0.1589	220	0	24
2025.06.27	03:00:00	0.1589	0.1595	0.1578	0.1579	227	0	24
2025.06.27	04:00:00	0.1579	0.1601	0.1570	0.1599	222	0	24
2025.06.27	05:00:00	0.1599	0.1614	0.1596	0.1612	153	0	24
2025.06.27	06:00:00	0.1613	0.1614	0.1606	0.1611	171	0	24
2025.06.27	07:00:00	0.1610	0.1611	0.1603	0.1608	143	0	24
2025.06.27	08:00:00	0.1608	0.1616	0.1596	0.1597	163	0	22
2025.06.27	09:00:00	0.1597	0.1605	0.1595	0.1603	141	0	22
2025.06.27	10:00:00	0.1603	0.1611	0.1595	0.1596	172	0	22
2025.06.27	11:00:00	0.1596	0.1609	0.1596	0.1604	230	0	24
2025.06.27	12:00:00	0.1604	0.1606	0.1598	0.1605	173	0	24
2025.06.27	13:00:00	0.1605	0.1606	0.1596	0.1596	153	0	24
2025.06.27	14:00:00	0.1596	0.1601	0.1591	0.1594	162	0	24
2025.06.27	15:00:00	0.1594	0.1601	0.1583	0.1584	202	0	24
2025.06.27	16:00:00	0.1584	0.1588	0.1572	0.1583	174	0	24
2025.06.27	17:00:00	0.1583	0.1590	0.1574	0.1576	293	0	24
2025.06.27	18:00:00	0.1576	0.1605	0.1574	0.1599	217	0	24
2025.06.27	19:00:00	0.1599	0.1617	0.1594	0.1603	209	0	24
2025.06.27	20:00:00	0.1603	0.1604	0.1579	0.1585	262	0	24
2025.06.27	21:00:00	0.1584	0.1585	0.1560	0.1564	232	0	24
2025.06.27	22:00:00	0.1564	0.1582	0.1563	0.1580	196	0	24
2025.06.27	23:00:00	0.1580	0.1594	0.1577	0.1594	170	0	24
2025.06.28	01:00:00	0.1598	0.1604	0.1598	0.1602	122	0	24
2025.06.28	02:00:00	0.1602	0.1602	0.1595	0.1599	105	0	24
2025.06.28	03:00:00	0.1599	0.1602	0.1596	0.1598	125	0	24
2025.06.28	04:00:00	0.1598	0.1608	0.1593	0.1608	141	0	24
2025.06.28	05:00:00	0.1608	0.1612	0.1605	0.1606	94	0	24
2025.06.28	06:00:00	0.1605	0.1610	0.1604	0.1609	102	0	24
2025.06.28	07:00:00	0.1609	0.1610	0.1605	0.1606	116	0	24
2025.06.28	08:00:00	0.1606	0.1611	0.1606	0.1606	132	0	24
2025.06.28	09:00:00	0.1606	0.1614	0.1606	0.1614	98	0	24
2025.06.28	10:00:00	0.1614	0.1622	0.1613	0.1621	82	0	24
2025.06.28	11:00:00	0.1621	0.1622	0.1614	0.1616	100	0	24
2025.06.28	12:00:00	0.1616	0.1622	0.1613	0.1620	99	0	24
2025.06.28	13:00:00	0.1620	0.1621	0.1613	0.1614	106	0	24
2025.06.28	14:00:00	0.1614	0.1616	0.1613	0.1613	50	0	24
2025.06.28	15:00:00	0.1608	0.1610	0.1608	0.1608	45	0	24
2025.06.28	16:00:00	0.1608	0.1608	0.1602	0.1604	74	0	24
2025.06.28	17:00:00	0.1604	0.1612	0.1604	0.1611	72	0	24
2025.06.28	18:00:00	0.1611	0.1620	0.1608	0.1618	124	0	24
2025.06.28	19:00:00	0.1618	0.1624	0.1613	0.1614	148	0	24
2025.06.28	20:00:00	0.1614	0.1638	0.1614	0.1635	146	0	24
2025.06.28	21:00:00	0.1635	0.1636	0.1623	0.1630	132	0	24
2025.06.28	22:00:00	0.1630	0.1633	0.1624	0.1625	108	0	24
2025.06.28	23:00:00	0.1625	0.1625	0.1620	0.1620	126	0	24
2025.06.29	00:00:00	0.1620	0.1632	0.1620	0.1631	87	0	24
2025.06.29	01:00:00	0.1631	0.1634	0.1629	0.1632	103	0	24
2025.06.29	02:00:00	0.1632	0.1633	0.1625	0.1625	82	0	24
2025.06.29	03:00:00	0.1625	0.1631	0.1623	0.1629	111	0	24
2025.06.29	04:00:00	0.1629	0.1629	0.1626	0.1627	51	0	24
2025.06.29	05:00:00	0.1624	0.1624	0.1616	0.1620	112	0	24
2025.06.29	06:00:00	0.1620	0.1621	0.1615	0.1616	97	0	24
2025.06.29	07:00:00	0.1616	0.1619	0.1615	0.1618	74	0	24
2025.06.29	08:00:00	0.1618	0.1625	0.1615	0.1625	88	0	24
2025.06.29	09:00:00	0.1625	0.1628	0.1625	0.1628	86	0	24
2025.06.29	10:00:00	0.1629	0.1629	0.1625	0.1627	92	0	24
2025.06.29	11:00:00	0.1627	0.1634	0.1625	0.1632	119	0	24
2025.06.29	12:00:00	0.1633	0.1639	0.1629	0.1633	106	0	24
2025.06.29	13:00:00	0.1633	0.1639	0.1628	0.1632	145	0	24
2025.06.29	14:00:00	0.1632	0.1634	0.1627	0.1634	110	0	24
2025.06.29	15:00:00	0.1635	0.1636	0.1628	0.1633	124	0	24
2025.06.29	16:00:00	0.1633	0.1640	0.1632	0.1635	142	0	24
2025.06.29	17:00:00	0.1635	0.1640	0.1623	0.1626	153	0	24
2025.06.29	18:00:00	0.1626	0.1627	0.1621	0.1622	118	0	24
2025.06.29	19:00:00	0.1622	0.1632	0.1620	0.1630	132	0	24
2025.06.29	20:00:00	0.1630	0.1632	0.1623	0.1630	108	0	24
2025.06.29	21:00:00	0.1630	0.1637	0.1627	0.1636	89	0	24
2025.06.29	22:00:00	0.1636	0.1636	0.1629	0.1630	101	0	24
2025.06.29	23:00:00	0.1630	0.1631	0.1627	0.1627	84	0	24
2025.06.30	00:00:00	0.1626	0.1635	0.1621	0.1633	94	0	24
2025.06.30	01:00:00	0.1634	0.1688	0.1633	0.1681	401	0	24
2025.06.30	02:00:00	0.1682	0.1688	0.1672	0.1682	257	0	24
2025.06.30	03:00:00	0.1682	0.1687	0.1677	0.1686	203	0	24
2025.06.30	04:00:00	0.1686	0.1686	0.1673	0.1675	204	0	24
2025.06.30	05:00:00	0.1675	0.1678	0.1664	0.1664	166	0	24
