<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.21	01:00:00	3.406	3.408	3.374	3.392	312	0	52
2025.06.21	02:00:00	3.392	3.416	3.384	3.413	294	0	50
2025.06.21	03:00:00	3.413	3.428	3.409	3.412	325	0	50
2025.06.21	04:00:00	3.412	3.437	3.411	3.437	233	0	50
2025.06.21	05:00:00	3.438	3.440	3.421	3.426	174	0	50
2025.06.21	06:00:00	3.425	3.436	3.420	3.432	134	0	50
2025.06.21	07:00:00	3.432	3.435	3.419	3.425	154	0	52
2025.06.21	08:00:00	3.425	3.457	3.424	3.457	182	0	52
2025.06.21	09:00:00	3.457	3.467	3.451	3.464	223	0	52
2025.06.21	10:00:00	3.464	3.469	3.452	3.456	230	0	50
2025.06.21	11:00:00	3.456	3.480	3.448	3.480	161	0	50
2025.06.21	12:00:00	3.480	3.480	3.462	3.466	167	0	50
2025.06.21	13:00:00	3.468	3.472	3.447	3.457	192	0	50
2025.06.21	14:00:00	3.457	3.458	3.435	3.438	221	0	50
2025.06.21	15:00:00	3.438	3.442	3.409	3.411	130	0	50
2025.06.21	16:00:00	3.411	3.420	3.377	3.382	280	0	50
2025.06.21	17:00:00	3.382	3.394	3.363	3.383	381	0	50
2025.06.21	18:00:00	3.381	3.390	3.365	3.387	355	0	50
2025.06.21	19:00:00	3.386	3.392	3.366	3.382	328	0	50
2025.06.21	20:00:00	3.381	3.399	3.349	3.360	384	0	50
2025.06.21	21:00:00	3.361	3.390	3.345	3.347	354	0	50
2025.06.21	22:00:00	3.347	3.352	3.320	3.322	423	0	50
2025.06.21	23:00:00	3.322	3.356	3.317	3.347	407	0	50
2025.06.22	00:00:00	3.347	3.351	3.188	3.250	505	0	48
2025.06.22	01:00:00	3.251	3.295	3.246	3.293	367	0	48
2025.06.22	02:00:00	3.293	3.306	3.237	3.300	496	0	48
2025.06.22	03:00:00	3.300	3.339	3.276	3.317	545	0	48
2025.06.22	04:00:00	3.317	3.327	3.300	3.302	167	0	48
2025.06.22	05:00:00	3.270	3.285	3.229	3.246	520	0	50
2025.06.22	06:00:00	3.245	3.253	3.212	3.235	447	0	48
2025.06.22	07:00:00	3.236	3.264	3.224	3.256	357	0	48
2025.06.22	08:00:00	3.256	3.271	3.248	3.269	322	0	48
2025.06.22	09:00:00	3.269	3.299	3.261	3.293	291	0	48
2025.06.22	10:00:00	3.293	3.301	3.254	3.259	365	0	48
2025.06.22	11:00:00	3.260	3.276	3.243	3.264	404	0	50
2025.06.22	12:00:00	3.265	3.281	3.227	3.231	591	0	48
2025.06.22	13:00:00	3.231	3.272	3.227	3.250	498	0	48
2025.06.22	14:00:00	3.250	3.272	3.242	3.258	317	0	48
2025.06.22	15:00:00	3.258	3.273	3.228	3.263	383	0	48
2025.06.22	16:00:00	3.263	3.269	3.105	3.159	744	0	48
2025.06.22	17:00:00	3.158	3.205	3.108	3.205	748	0	48
2025.06.22	18:00:00	3.204	3.207	3.148	3.150	467	0	46
2025.06.22	19:00:00	3.150	3.157	3.123	3.143	635	0	46
2025.06.22	20:00:00	3.143	3.181	3.128	3.162	498	0	44
2025.06.22	21:00:00	3.164	3.169	3.140	3.144	493	0	44
2025.06.22	22:00:00	3.144	3.154	3.110	3.122	491	0	44
2025.06.22	23:00:00	3.123	3.127	2.993	3.085	636	0	46
2025.06.23	00:00:00	3.085	3.114	3.045	3.049	298	0	44
2025.06.23	01:00:00	3.048	3.124	3.047	3.124	442	0	44
2025.06.23	02:00:00	3.128	3.138	3.109	3.132	344	0	44
2025.06.23	03:00:00	3.132	3.158	3.114	3.127	472	0	46
2025.06.23	04:00:00	3.128	3.139	3.105	3.139	257	0	44
2025.06.23	05:00:00	3.140	3.150	3.129	3.144	272	0	44
2025.06.23	06:00:00	3.144	3.159	3.134	3.157	288	0	44
2025.06.23	07:00:00	3.157	3.181	3.144	3.171	232	0	46
2025.06.23	08:00:00	3.171	3.214	3.171	3.205	240	0	46
2025.06.23	09:00:00	3.206	3.223	3.188	3.207	248	0	46
2025.06.23	10:00:00	3.207	3.225	3.176	3.191	256	0	46
2025.06.23	11:00:00	3.191	3.205	3.176	3.185	249	0	48
2025.06.23	12:00:00	3.185	3.187	3.168	3.179	262	0	46
2025.06.23	13:00:00	3.179	3.181	3.153	3.163	268	0	46
2025.06.23	14:00:00	3.163	3.177	3.149	3.171	291	0	46
2025.06.23	15:00:00	3.171	3.205	3.157	3.205	312	0	46
2025.06.23	16:00:00	3.205	3.264	3.165	3.255	544	0	46
2025.06.23	17:00:00	3.255	3.273	3.221	3.227	616	0	48
2025.06.23	18:00:00	3.227	3.248	3.183	3.184	428	0	48
2025.06.23	19:00:00	3.183	3.189	3.089	3.106	679	0	48
2025.06.23	20:00:00	3.106	3.222	3.095	3.208	777	0	44
2025.06.23	21:00:00	3.209	3.268	3.209	3.251	656	0	44
2025.06.23	22:00:00	3.251	3.269	3.232	3.262	465	0	44
2025.06.23	23:00:00	3.261	3.337	3.258	3.298	569	0	48
2025.06.24	00:00:00	3.299	3.314	3.277	3.283	316	0	48
2025.06.24	01:00:00	3.285	3.398	3.283	3.381	676	0	48
2025.06.24	02:00:00	3.382	3.397	3.367	3.392	434	0	48
2025.06.24	03:00:00	3.393	3.408	3.376	3.393	466	0	50
2025.06.24	04:00:00	3.393	3.404	3.382	3.396	362	0	50
2025.06.24	05:00:00	3.395	3.401	3.367	3.370	258	0	50
2025.06.24	06:00:00	3.371	3.385	3.364	3.379	184	0	50
2025.06.24	07:00:00	3.378	3.382	3.363	3.375	252	0	50
2025.06.24	08:00:00	3.376	3.447	3.372	3.445	292	0	50
2025.06.24	09:00:00	3.445	3.458	3.430	3.450	401	0	50
2025.06.24	10:00:00	3.447	3.458	3.388	3.390	490	0	50
2025.06.24	11:00:00	3.390	3.396	3.364	3.384	355	0	50
2025.06.24	12:00:00	3.382	3.427	3.380	3.393	361	0	50
2025.06.24	13:00:00	3.393	3.409	3.388	3.401	401	0	50
2025.06.24	14:00:00	3.401	3.409	3.384	3.403	272	0	50
2025.06.24	15:00:00	3.407	3.419	3.392	3.407	333	0	50
2025.06.24	16:00:00	3.407	3.424	3.392	3.414	522	0	50
2025.06.24	17:00:00	3.413	3.454	3.410	3.438	550	0	52
2025.06.24	18:00:00	3.439	3.450	3.409	3.425	520	0	50
2025.06.24	19:00:00	3.426	3.492	3.424	3.492	428	0	50
2025.06.24	20:00:00	3.492	3.498	3.436	3.442	472	0	50
2025.06.24	21:00:00	3.442	3.449	3.413	3.422	370	0	50
2025.06.24	22:00:00	3.422	3.424	3.394	3.408	364	0	50
2025.06.24	23:00:00	3.407	3.436	3.398	3.436	307	0	52
2025.06.25	00:00:00	3.435	3.437	3.410	3.433	318	0	50
2025.06.25	01:00:00	3.431	3.433	3.413	3.428	336	0	50
2025.06.25	02:00:00	3.428	3.429	3.397	3.416	224	0	50
2025.06.25	03:00:00	3.416	3.425	3.383	3.421	375	0	50
2025.06.25	04:00:00	3.420	3.427	3.388	3.407	279	0	50
2025.06.25	05:00:00	3.408	3.433	3.402	3.415	504	0	52
2025.06.25	06:00:00	3.416	3.431	3.401	3.401	427	0	52
2025.06.25	07:00:00	3.402	3.403	3.386	3.393	335	0	52
2025.06.25	08:00:00	3.392	3.397	3.377	3.380	306	0	50
2025.06.25	09:00:00	3.382	3.397	3.376	3.396	292	0	50
2025.06.25	10:00:00	3.396	3.418	3.387	3.406	358	0	50
2025.06.25	11:00:00	3.406	3.417	3.368	3.385	320	0	50
2025.06.25	12:00:00	3.385	3.396	3.351	3.367	387	0	50
2025.06.25	13:00:00	3.367	3.379	3.356	3.372	362	0	50
2025.06.25	14:00:00	3.372	3.400	3.365	3.399	287	0	50
2025.06.25	15:00:00	3.400	3.400	3.380	3.391	355	0	50
2025.06.25	16:00:00	3.391	3.429	3.388	3.425	462	0	50
2025.06.25	17:00:00	3.425	3.426	3.354	3.386	578	0	50
2025.06.25	18:00:00	3.386	3.387	3.332	3.339	468	0	48
2025.06.25	19:00:00	3.337	3.361	3.326	3.334	424	0	48
2025.06.25	20:00:00	3.334	3.384	3.330	3.365	370	0	48
2025.06.25	21:00:00	3.365	3.372	3.352	3.362	364	0	50
2025.06.25	22:00:00	3.362	3.389	3.362	3.372	282	0	50
2025.06.25	23:00:00	3.372	3.385	3.361	3.382	396	0	50
2025.06.26	00:00:00	3.380	3.394	3.349	3.357	278	0	50
2025.06.26	01:00:00	3.356	3.356	3.325	3.336	354	0	50
2025.06.26	02:00:00	3.336	3.337	3.320	3.330	123	0	50
2025.06.26	03:00:00	3.330	3.348	3.320	3.332	328	0	50
2025.06.26	04:00:00	3.332	3.376	3.315	3.356	442	0	48
2025.06.26	05:00:00	3.355	3.383	3.342	3.380	411	0	48
2025.06.26	06:00:00	3.379	3.409	3.352	3.358	430	0	48
2025.06.26	07:00:00	3.358	3.361	3.314	3.336	291	0	48
2025.06.26	08:00:00	3.336	3.336	3.313	3.323	116	0	48
2025.06.26	09:00:00	3.323	3.342	3.320	3.340	179	0	50
2025.06.26	10:00:00	3.341	3.374	3.337	3.353	328	0	48
2025.06.26	11:00:00	3.353	3.360	3.327	3.332	221	0	48
2025.06.26	12:00:00	3.334	3.337	3.301	3.305	355	0	48
2025.06.26	13:00:00	3.304	3.318	3.301	3.314	336	0	50
2025.06.26	14:00:00	3.314	3.314	3.295	3.305	305	0	48
2025.06.26	15:00:00	3.304	3.306	3.271	3.275	353	0	48
2025.06.26	16:00:00	3.275	3.280	3.248	3.257	499	0	48
2025.06.26	17:00:00	3.257	3.305	3.247	3.287	514	0	50
