<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	00:00:00	0.85432	0.85574	0.85427	0.85542	657	0	37
2025.06.23	01:00:00	0.85541	0.85665	0.85535	0.85555	2135	0	8
2025.06.23	02:00:00	0.85555	0.85608	0.85549	0.85589	2083	0	8
2025.06.23	03:00:00	0.85589	0.85623	0.85585	0.85597	2382	0	8
2025.06.23	04:00:00	0.85594	0.85624	0.85578	0.85615	1880	0	8
2025.06.23	05:00:00	0.85615	0.85653	0.85612	0.85649	1960	0	8
2025.06.23	06:00:00	0.85650	0.85673	0.85631	0.85660	1784	0	8
2025.06.23	07:00:00	0.85660	0.85688	0.85634	0.85685	1375	0	8
2025.06.23	08:00:00	0.85686	0.85746	0.85678	0.85713	1813	0	8
2025.06.23	09:00:00	0.85712	0.85723	0.85620	0.85628	2481	0	8
2025.06.23	10:00:00	0.85628	0.85629	0.85518	0.85550	2958	0	8
2025.06.23	11:00:00	0.85550	0.85589	0.85504	0.85586	2443	0	8
2025.06.23	12:00:00	0.85587	0.85718	0.85567	0.85708	3061	0	8
2025.06.23	13:00:00	0.85709	0.85733	0.85662	0.85664	2121	0	8
2025.06.23	14:00:00	0.85665	0.85740	0.85640	0.85646	2402	0	8
2025.06.23	15:00:00	0.85645	0.85683	0.85609	0.85626	2620	0	8
2025.06.23	16:00:00	0.85627	0.85655	0.85533	0.85582	3301	0	8
2025.06.23	17:00:00	0.85580	0.85618	0.85472	0.85485	4375	0	8
2025.06.23	18:00:00	0.85486	0.85536	0.85456	0.85525	3212	0	8
2025.06.23	19:00:00	0.85526	0.85579	0.85492	0.85560	3139	0	8
2025.06.23	20:00:00	0.85559	0.85590	0.85523	0.85562	2945	0	8
2025.06.23	21:00:00	0.85562	0.85601	0.85547	0.85599	1960	0	8
2025.06.23	22:00:00	0.85598	0.85599	0.85553	0.85588	1280	0	8
2025.06.23	23:00:00	0.85589	0.85612	0.85569	0.85578	1060	0	8
2025.06.24	00:00:00	0.85551	0.85622	0.85525	0.85589	1053	0	21
2025.06.24	01:00:00	0.85589	0.85650	0.85560	0.85619	1867	0	8
2025.06.24	02:00:00	0.85620	0.85661	0.85611	0.85614	1921	0	8
2025.06.24	03:00:00	0.85614	0.85650	0.85586	0.85606	2247	0	8
2025.06.24	04:00:00	0.85606	0.85617	0.85577	0.85597	2010	0	8
2025.06.24	05:00:00	0.85597	0.85611	0.85568	0.85577	2004	0	8
2025.06.24	06:00:00	0.85578	0.85595	0.85556	0.85558	1202	0	8
2025.06.24	07:00:00	0.85559	0.85579	0.85553	0.85555	1077	0	8
2025.06.24	08:00:00	0.85555	0.85575	0.85536	0.85561	1703	0	8
2025.06.24	09:00:00	0.85559	0.85559	0.85411	0.85442	3056	0	8
2025.06.24	10:00:00	0.85442	0.85482	0.85346	0.85360	3251	0	8
2025.06.24	11:00:00	0.85362	0.85377	0.85228	0.85232	2546	0	8
2025.06.24	12:00:00	0.85229	0.85322	0.85215	0.85301	2433	0	8
2025.06.24	13:00:00	0.85301	0.85301	0.85203	0.85214	1709	0	8
2025.06.24	14:00:00	0.85212	0.85275	0.85205	0.85265	2207	0	8
2025.06.24	15:00:00	0.85263	0.85337	0.85248	0.85288	2191	0	8
2025.06.24	16:00:00	0.85288	0.85288	0.85202	0.85231	2860	0	8
2025.06.24	17:00:00	0.85232	0.85329	0.85191	0.85274	4325	0	8
2025.06.24	18:00:00	0.85274	0.85342	0.85253	0.85253	3010	0	8
2025.06.24	19:00:00	0.85255	0.85316	0.85252	0.85305	1918	0	8
2025.06.24	20:00:00	0.85305	0.85320	0.85254	0.85257	1567	0	8
2025.06.24	21:00:00	0.85258	0.85288	0.85249	0.85266	1435	0	8
2025.06.24	22:00:00	0.85266	0.85280	0.85244	0.85257	1255	0	8
2025.06.24	23:00:00	0.85257	0.85281	0.85244	0.85246	915	0	8
2025.06.25	00:00:00	0.85199	0.85278	0.85134	0.85271	588	0	33
2025.06.25	01:00:00	0.85272	0.85283	0.85233	0.85257	538	0	8
2025.06.25	02:00:00	0.85257	0.85301	0.85257	0.85286	810	0	8
2025.06.25	03:00:00	0.85286	0.85378	0.85283	0.85365	1577	0	8
2025.06.25	04:00:00	0.85365	0.85367	0.85311	0.85321	1892	0	8
2025.06.25	05:00:00	0.85321	0.85348	0.85296	0.85318	1410	0	8
2025.06.25	06:00:00	0.85318	0.85332	0.85294	0.85297	1251	0	8
2025.06.25	07:00:00	0.85297	0.85322	0.85287	0.85287	688	0	8
2025.06.25	08:00:00	0.85287	0.85291	0.85254	0.85284	1338	0	8
2025.06.25	09:00:00	0.85284	0.85284	0.85177	0.85184	2125	0	8
2025.06.25	10:00:00	0.85178	0.85219	0.85122	0.85190	2345	0	8
2025.06.25	11:00:00	0.85192	0.85235	0.85136	0.85226	2429	0	8
2025.06.25	12:00:00	0.85227	0.85277	0.85187	0.85215	2318	0	8
2025.06.25	13:00:00	0.85215	0.85313	0.85203	0.85285	1810	0	8
