<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	00:00:00	1.14565	1.14745	1.14565	1.14721	644	0	7
2025.06.23	01:00:00	1.14721	1.14943	1.14721	1.14885	3043	0	7
2025.06.23	02:00:00	1.14885	1.15071	1.14857	1.14992	1979	0	7
2025.06.23	03:00:00	1.14993	1.15054	1.14807	1.14889	3372	0	7
2025.06.23	04:00:00	1.14891	1.14921	1.14722	1.14919	2997	0	7
2025.06.23	05:00:00	1.14921	1.15065	1.14920	1.14992	2392	0	7
2025.06.23	06:00:00	1.14995	1.15032	1.14920	1.14936	2449	0	7
2025.06.23	07:00:00	1.14936	1.14963	1.14851	1.14903	1893	0	7
2025.06.23	08:00:00	1.14903	1.15141	1.14903	1.15129	2499	0	7
2025.06.23	09:00:00	1.15129	1.15208	1.15033	1.15069	3509	0	7
2025.06.23	10:00:00	1.15068	1.15160	1.14896	1.14983	3655	0	7
2025.06.23	11:00:00	1.14982	1.15019	1.14800	1.14815	3046	0	7
2025.06.23	12:00:00	1.14814	1.14826	1.14533	1.14718	3661	0	7
2025.06.23	13:00:00	1.14716	1.14818	1.14592	1.14622	2960	0	7
2025.06.23	14:00:00	1.14624	1.14743	1.14602	1.14724	2925	0	7
2025.06.23	15:00:00	1.14725	1.14777	1.14567	1.14673	3137	0	7
2025.06.23	16:00:00	1.14672	1.14937	1.14645	1.14894	3861	0	7
2025.06.23	17:00:00	1.14894	1.15402	1.14893	1.15306	5810	0	7
2025.06.23	18:00:00	1.15306	1.15519	1.15286	1.15371	4103	0	7
2025.06.23	19:00:00	1.15371	1.15570	1.15176	1.15446	3777	0	7
2025.06.23	20:00:00	1.15445	1.15732	1.15403	1.15691	3822	0	7
2025.06.23	21:00:00	1.15691	1.15777	1.15660	1.15738	2971	0	7
2025.06.23	22:00:00	1.15739	1.15785	1.15701	1.15782	1795	0	7
2025.06.23	23:00:00	1.15784	1.15813	1.15745	1.15779	954	0	7
2025.06.24	00:00:00	1.15764	1.15781	1.15752	1.15752	255	0	9
2025.06.24	01:00:00	1.15752	1.16023	1.15684	1.15922	1864	0	7
2025.06.24	02:00:00	1.15927	1.16081	1.15864	1.15978	1920	0	7
2025.06.24	03:00:00	1.15976	1.16085	1.15895	1.15990	3101	0	7
2025.06.24	04:00:00	1.15990	1.16052	1.15896	1.15905	2827	0	7
2025.06.24	05:00:00	1.15905	1.16013	1.15865	1.15999	2137	0	7
2025.06.24	06:00:00	1.16000	1.16096	1.15997	1.16053	1813	0	7
2025.06.24	07:00:00	1.16053	1.16139	1.16020	1.16059	1674	0	7
2025.06.24	08:00:00	1.16059	1.16138	1.16011	1.16104	2012	0	7
2025.06.24	09:00:00	1.16105	1.16219	1.16011	1.16050	3851	0	7
2025.06.24	10:00:00	1.16049	1.16103	1.15798	1.15917	4213	0	7
2025.06.24	11:00:00	1.15909	1.15992	1.15852	1.15923	3691	0	7
2025.06.24	12:00:00	1.15923	1.16178	1.15917	1.16094	3093	0	7
