<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	00:00:00	1.33984	1.34086	1.33977	1.34011	193	0	8
2025.06.23	01:00:00	1.34011	1.34314	1.33992	1.34274	2985	0	8
2025.06.23	02:00:00	1.34279	1.34412	1.34236	1.34345	2512	0	8
2025.06.23	03:00:00	1.34345	1.34381	1.34109	1.34214	3153	0	8
2025.06.23	04:00:00	1.34217	1.34247	1.34027	1.34217	3002	0	8
2025.06.23	05:00:00	1.34217	1.34378	1.34217	1.34247	2699	0	8
2025.06.23	06:00:00	1.34248	1.34295	1.34154	1.34167	2119	0	8
2025.06.23	07:00:00	1.34167	1.34219	1.34051	1.34091	1472	0	8
2025.06.23	08:00:00	1.34091	1.34307	1.34090	1.34307	2746	0	8
2025.06.23	09:00:00	1.34308	1.34415	1.34254	1.34371	3420	0	8
2025.06.23	10:00:00	1.34373	1.34481	1.34326	1.34393	4122	0	8
2025.06.23	11:00:00	1.34392	1.34458	1.34134	1.34141	3325	0	8
2025.06.23	12:00:00	1.34141	1.34167	1.33699	1.33840	4114	0	8
2025.06.23	13:00:00	1.33840	1.33932	1.33748	1.33797	3073	0	8
2025.06.23	14:00:00	1.33797	1.33953	1.33716	1.33940	3204	0	8
2025.06.23	15:00:00	1.33941	1.33972	1.33735	1.33914	3592	0	8
2025.06.23	16:00:00	1.33915	1.34298	1.33867	1.34242	4584	0	8
2025.06.23	17:00:00	1.34243	1.34944	1.34243	1.34877	5987	0	8
2025.06.23	18:00:00	1.34877	1.35055	1.34866	1.34890	4818	0	8
2025.06.23	19:00:00	1.34889	1.35057	1.34699	1.34919	4415	0	8
2025.06.23	20:00:00	1.34919	1.35225	1.34893	1.35204	4334	0	8
2025.06.23	21:00:00	1.35204	1.35307	1.35160	1.35201	3380	0	8
2025.06.23	22:00:00	1.35200	1.35284	1.35192	1.35269	2564	0	8
2025.06.23	23:00:00	1.35271	1.35300	1.35218	1.35226	1440	0	8
2025.06.24	00:00:00	1.35174	1.35289	1.35015	1.35191	874	0	26
2025.06.24	01:00:00	1.35191	1.35467	1.35186	1.35378	1841	0	8
2025.06.24	02:00:00	1.35389	1.35543	1.35308	1.35451	2195	0	8
