<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	01:00:00	36.014	36.107	35.817	36.062	1955	0	20
2025.06.23	02:00:00	36.058	36.105	36.040	36.070	1132	0	20
2025.06.23	03:00:00	36.067	36.101	35.950	36.012	2103	0	20
2025.06.23	04:00:00	36.013	36.118	35.871	35.984	3494	0	20
2025.06.23	05:00:00	35.978	36.066	35.978	35.995	1749	0	27
2025.06.23	06:00:00	35.995	36.116	35.988	36.088	1614	0	25
2025.06.23	07:00:00	36.080	36.121	36.008	36.033	1087	0	20
2025.06.23	08:00:00	36.033	36.107	35.925	36.025	2107	0	20
2025.06.23	09:00:00	36.025	36.120	35.961	36.113	2565	0	20
2025.06.23	10:00:00	36.114	36.138	36.030	36.100	2154	0	22
2025.06.23	11:00:00	36.097	36.211	36.086	36.199	2102	0	20
2025.06.23	12:00:00	36.199	36.212	36.054	36.131	1813	0	21
2025.06.23	13:00:00	36.130	36.223	36.105	36.109	1644	0	20
2025.06.23	14:00:00	36.110	36.227	36.096	36.198	2302	0	21
2025.06.23	15:00:00	36.195	36.221	35.930	36.044	3276	0	20
2025.06.23	16:00:00	36.045	36.230	36.001	36.197	4553	0	21
2025.06.23	17:00:00	36.197	36.291	36.133	36.252	3652	0	21
2025.06.23	18:00:00	36.254	36.333	36.248	36.277	2106	0	20
2025.06.23	19:00:00	36.279	36.293	36.146	36.221	2519	0	25
2025.06.23	20:00:00	36.218	36.313	36.175	36.307	2613	0	23
2025.06.23	21:00:00	36.311	36.351	36.254	36.290	1635	0	24
2025.06.23	22:00:00	36.290	36.325	36.243	36.245	1151	0	27
2025.06.23	23:00:00	36.245	36.263	36.057	36.086	1031	0	28
2025.06.24	01:00:00	36.012	36.094	35.588	35.925	2248	0	20
2025.06.24	02:00:00	35.924	35.974	35.848	35.877	1668	0	26
2025.06.24	03:00:00	35.879	36.075	35.807	36.061	2256	0	28
2025.06.24	04:00:00	36.062	36.109	35.951	36.008	2980	0	26
2025.06.24	05:00:00	36.008	36.113	36.007	36.109	1865	0	26
2025.06.24	06:00:00	36.107	36.185	36.086	36.111	1206	0	24
2025.06.24	07:00:00	36.111	36.160	36.075	36.151	941	0	20
2025.06.24	08:00:00	36.148	36.175	35.961	36.071	2296	0	23
2025.06.24	09:00:00	36.071	36.087	35.913	36.027	3003	0	20
2025.06.24	10:00:00	36.027	36.105	35.953	36.097	3299	0	21
2025.06.24	11:00:00	36.099	36.137	36.065	36.129	2220	0	22
2025.06.24	12:00:00	36.131	36.139	36.034	36.041	2287	0	20
2025.06.24	13:00:00	36.044	36.165	36.041	36.082	1764	0	21
2025.06.24	14:00:00	36.082	36.155	36.040	36.135	2056	0	20
2025.06.24	15:00:00	36.127	36.138	35.622	35.832	4256	0	20
2025.06.24	16:00:00	35.831	35.985	35.272	35.338	5815	0	20
2025.06.24	17:00:00	35.338	35.517	35.282	35.471	4288	0	20
2025.06.24	18:00:00	35.471	35.730	35.463	35.697	2765	0	22
2025.06.24	19:00:00	35.697	35.756	35.675	35.737	1805	0	20
2025.06.24	20:00:00	35.737	35.836	35.736	35.813	1458	0	23
2025.06.24	21:00:00	35.809	35.869	35.798	35.848	941	0	25
2025.06.24	22:00:00	35.848	35.897	35.823	35.884	862	0	26
2025.06.24	23:00:00	35.885	35.915	35.871	35.902	505	0	23
2025.06.25	01:00:00	35.833	35.943	35.833	35.932	293	0	24
2025.06.25	02:00:00	35.932	35.954	35.915	35.930	316	0	25
2025.06.25	03:00:00	35.925	35.950	35.906	35.936	898	0	23
2025.06.25	04:00:00	35.936	35.977	35.889	35.941	2139	0	24
2025.06.25	05:00:00	35.944	35.956	35.882	35.930	1589	0	26
2025.06.25	06:00:00	35.930	35.973	35.892	35.903	1270	0	25
2025.06.25	07:00:00	35.904	35.949	35.882	35.944	716	0	28
2025.06.25	08:00:00	35.944	36.003	35.931	35.980	1342	0	26
2025.06.25	09:00:00	35.980	36.035	35.934	36.018	1695	0	22
2025.06.25	10:00:00	36.021	36.044	35.915	35.981	1959	0	20
2025.06.25	11:00:00	35.981	35.988	35.785	35.860	2061	0	20
2025.06.25	12:00:00	35.860	35.860	35.679	35.745	1886	0	21
2025.06.25	13:00:00	35.746	35.804	35.688	35.730	1786	0	20
2025.06.25	14:00:00	35.729	35.773	35.664	35.747	1800	0	21
2025.06.25	15:00:00	35.747	35.839	35.706	35.791	2258	0	21
2025.06.25	16:00:00	35.793	35.863	35.691	35.841	3464	0	20
