<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.32252	1.32490	1.32247	1.32422	215	0	28
2024.01.02	01:00:00	1.32409	1.32477	1.32390	1.32439	564	0	14
2024.01.02	02:00:00	1.32439	1.32470	1.32421	1.32444	511	0	14
2024.01.02	03:00:00	1.32446	1.32449	1.32281	1.32408	1355	0	14
2024.01.02	04:00:00	1.32408	1.32542	1.32383	1.32530	854	0	14
2024.01.02	05:00:00	1.32529	1.32558	1.32494	1.32550	757	0	14
2024.01.02	06:00:00	1.32550	1.32569	1.32538	1.32540	569	0	14
2024.01.02	07:00:00	1.32539	1.32556	1.32355	1.32358	807	0	14
2024.01.02	08:00:00	1.32357	1.32549	1.32356	1.32538	969	0	14
2024.01.02	09:00:00	1.32538	1.32544	1.32379	1.32504	1557	0	14
2024.01.02	10:00:00	1.32504	1.32508	1.32279	1.32413	1743	0	14
2024.01.02	11:00:00	1.32412	1.32527	1.32410	1.32524	1194	0	14
2024.01.02	12:00:00	1.32526	1.32623	1.32477	1.32499	1303	0	14
2024.01.02	13:00:00	1.32494	1.32702	1.32479	1.32670	1860	0	14
2024.01.02	14:00:00	1.32671	1.32904	1.32661	1.32903	1756	0	14
2024.01.02	15:00:00	1.32904	1.33082	1.32886	1.32988	2631	0	14
2024.01.02	16:00:00	1.32987	1.33283	1.32986	1.33154	3925	0	14
2024.01.02	17:00:00	1.33157	1.33269	1.33098	1.33118	4826	0	14
2024.01.02	18:00:00	1.33119	1.33190	1.32998	1.33100	2919	0	14
2024.01.02	19:00:00	1.33100	1.33141	1.33020	1.33041	2042	0	14
2024.01.02	20:00:00	1.33041	1.33265	1.33041	1.33257	1924	0	14
2024.01.02	21:00:00	1.33258	1.33322	1.33213	1.33262	1853	0	14
2024.01.02	22:00:00	1.33262	1.33331	1.33239	1.33299	1567	0	14
2024.01.02	23:00:00	1.33297	1.33305	1.33196	1.33204	557	0	15
2024.01.03	00:00:00	1.33199	1.33231	1.33185	1.33205	479	0	33
2024.01.03	01:00:00	1.33207	1.33226	1.33197	1.33213	367	0	14
2024.01.03	02:00:00	1.33212	1.33228	1.33171	1.33213	689	0	14
2024.01.03	03:00:00	1.33214	1.33288	1.33192	1.33254	1519	0	14
2024.01.03	04:00:00	1.33254	1.33313	1.33241	1.33269	1147	0	14
2024.01.03	05:00:00	1.33270	1.33299	1.33244	1.33249	1138	0	14
2024.01.03	06:00:00	1.33250	1.33288	1.33241	1.33265	801	0	14
2024.01.03	07:00:00	1.33265	1.33293	1.33245	1.33264	1283	0	14
2024.01.03	08:00:00	1.33265	1.33271	1.33208	1.33244	1180	0	14
2024.01.03	09:00:00	1.33242	1.33332	1.33223	1.33239	1689	0	14
2024.01.03	10:00:00	1.33238	1.33334	1.33222	1.33246	2026	0	14
2024.01.03	11:00:00	1.33246	1.33328	1.33230	1.33248	2266	0	14
2024.01.03	12:00:00	1.33248	1.33346	1.33228	1.33337	1654	0	14
2024.01.03	13:00:00	1.33338	1.33455	1.33301	1.33428	1652	0	14
2024.01.03	14:00:00	1.33426	1.33478	1.33366	1.33445	1753	0	14
2024.01.03	15:00:00	1.33445	1.33636	1.33443	1.33614	2944	0	14
2024.01.03	16:00:00	1.33614	1.33638	1.33469	1.33508	3477	0	14
2024.01.03	17:00:00	1.33503	1.33670	1.33366	1.33502	4861	0	14
2024.01.03	18:00:00	1.33502	1.33609	1.33426	1.33573	3003	0	14
2024.01.03	19:00:00	1.33575	1.33625	1.33547	1.33603	2154	0	14
2024.01.03	20:00:00	1.33603	1.33620	1.33494	1.33590	1729	0	14
2024.01.03	21:00:00	1.33594	1.33710	1.33474	1.33550	4038	0	14
2024.01.03	22:00:00	1.33549	1.33579	1.33504	1.33571	2499	0	14
2024.01.03	23:00:00	1.33572	1.33580	1.33510	1.33522	688	0	15
2024.01.04	00:00:00	1.33496	1.33536	1.33469	1.33510	406	0	30
2024.01.04	01:00:00	1.33511	1.33520	1.33468	1.33479	456	0	14
2024.01.04	02:00:00	1.33479	1.33520	1.33477	1.33496	570	0	14
2024.01.04	03:00:00	1.33496	1.33507	1.33437	1.33460	999	0	14
2024.01.04	04:00:00	1.33461	1.33542	1.33445	1.33508	767	0	14
2024.01.04	05:00:00	1.33508	1.33508	1.33367	1.33386	637	0	14
2024.01.04	06:00:00	1.33380	1.33405	1.33352	1.33383	520	0	14
2024.01.04	07:00:00	1.33384	1.33428	1.33380	1.33395	916	0	15
2024.01.04	08:00:00	1.33396	1.33402	1.33226	1.33245	910	0	14
2024.01.04	09:00:00	1.33245	1.33275	1.33171	1.33193	1691	0	14
2024.01.04	10:00:00	1.33191	1.33256	1.33168	1.33234	2181	0	14
2024.01.04	11:00:00	1.33235	1.33298	1.33190	1.33232	1771	0	14
2024.01.04	12:00:00	1.33231	1.33292	1.33164	1.33224	1509	0	14
2024.01.04	13:00:00	1.33224	1.33380	1.33201	1.33369	1177	0	14
2024.01.04	14:00:00	1.33369	1.33412	1.33285	1.33336	1406	0	14
2024.01.04	15:00:00	1.33337	1.33608	1.33297	1.33559	3172	0	14
2024.01.04	16:00:00	1.33560	1.33652	1.33486	1.33561	4075	0	14
2024.01.04	17:00:00	1.33562	1.33608	1.33409	1.33531	3885	0	14
2024.01.04	18:00:00	1.33531	1.33626	1.33489	1.33566	2786	0	14
2024.01.04	19:00:00	1.33562	1.33600	1.33499	1.33540	2159	0	14
2024.01.04	20:00:00	1.33540	1.33585	1.33470	1.33570	1449	0	14
2024.01.04	21:00:00	1.33570	1.33610	1.33520	1.33557	2001	0	14
2024.01.04	22:00:00	1.33558	1.33562	1.33490	1.33518	1967	0	14
2024.01.04	23:00:00	1.33518	1.33523	1.33454	1.33481	550	0	16
2024.01.05	00:00:00	1.33500	1.33563	1.33372	1.33507	551	0	14
2024.01.05	01:00:00	1.33506	1.33561	1.33487	1.33558	394	0	14
2024.01.05	02:00:00	1.33558	1.33585	1.33499	1.33519	908	0	14
2024.01.05	03:00:00	1.33519	1.33552	1.33469	1.33494	1152	0	14
2024.01.05	04:00:00	1.33495	1.33552	1.33458	1.33547	937	0	14
2024.01.05	05:00:00	1.33547	1.33615	1.33525	1.33601	669	0	14
2024.01.05	06:00:00	1.33601	1.33640	1.33568	1.33637	563	0	14
2024.01.05	07:00:00	1.33637	1.33670	1.33604	1.33616	704	0	15
2024.01.05	08:00:00	1.33616	1.33713	1.33588	1.33659	896	0	15
2024.01.05	09:00:00	1.33660	1.33669	1.33543	1.33605	1144	0	14
2024.01.05	10:00:00	1.33605	1.33667	1.33548	1.33623	2313	0	14
2024.01.05	11:00:00	1.33622	1.33723	1.33566	1.33720	2010	0	14
2024.01.05	12:00:00	1.33718	1.33790	1.33702	1.33714	1613	0	14
2024.01.05	13:00:00	1.33716	1.33740	1.33684	1.33719	1441	0	14
2024.01.05	14:00:00	1.33720	1.33745	1.33673	1.33729	1411	0	14
2024.01.05	15:00:00	1.33729	1.33982	1.33566	1.33584	5369	0	14
2024.01.05	16:00:00	1.33584	1.33675	1.33244	1.33290	4850	0	14
2024.01.05	17:00:00	1.33290	1.33355	1.32868	1.33226	6289	0	14
2024.01.05	18:00:00	1.33226	1.33375	1.33144	1.33319	3657	0	14
2024.01.05	19:00:00	1.33320	1.33514	1.33311	1.33407	2820	0	14
2024.01.05	20:00:00	1.33407	1.33579	1.33373	1.33466	2493	0	14
2024.01.05	21:00:00	1.33465	1.33662	1.33448	1.33609	2284	0	14
2024.01.05	22:00:00	1.33609	1.33676	1.33587	1.33650	1969	0	14
2024.01.05	23:00:00	1.33660	1.33662	1.33469	1.33496	679	0	17
2024.01.08	00:00:00	1.33450	1.33636	1.33407	1.33612	348	0	18
2024.01.08	01:00:00	1.33606	1.33650	1.33592	1.33592	454	0	14
2024.01.08	02:00:00	1.33592	1.33612	1.33543	1.33545	450	0	14
2024.01.08	03:00:00	1.33546	1.33568	1.33441	1.33541	1259	0	14
2024.01.08	04:00:00	1.33547	1.33642	1.33539	1.33622	864	0	14
2024.01.08	05:00:00	1.33622	1.33715	1.33601	1.33697	1078	0	15
2024.01.08	06:00:00	1.33696	1.33733	1.33681	1.33727	635	0	14
2024.01.08	07:00:00	1.33728	1.33784	1.33710	1.33731	834	0	15
2024.01.08	08:00:00	1.33731	1.33732	1.33637	1.33654	1022	0	14
2024.01.08	09:00:00	1.33653	1.33755	1.33584	1.33749	1649	0	14
2024.01.08	10:00:00	1.33750	1.33922	1.33750	1.33816	2892	0	14
2024.01.08	11:00:00	1.33813	1.33936	1.33774	1.33785	2283	0	14
2024.01.08	12:00:00	1.33784	1.33848	1.33762	1.33833	1559	0	14
2024.01.08	13:00:00	1.33832	1.33892	1.33791	1.33879	1712	0	15
2024.01.08	14:00:00	1.33878	1.33894	1.33781	1.33801	1340	0	14
2024.01.08	15:00:00	1.33799	1.33980	1.33759	1.33949	2671	0	14
2024.01.08	16:00:00	1.33948	1.34040	1.33860	1.33875	3440	0	14
2024.01.08	17:00:00	1.33876	1.33930	1.33711	1.33728	3289	0	14
2024.01.08	18:00:00	1.33725	1.33756	1.33626	1.33626	2490	0	14
2024.01.08	19:00:00	1.33626	1.33699	1.33584	1.33658	1790	0	14
2024.01.08	20:00:00	1.33657	1.33719	1.33581	1.33642	1535	0	14
2024.01.08	21:00:00	1.33641	1.33659	1.33485	1.33504	1310	0	14
2024.01.08	22:00:00	1.33506	1.33571	1.33492	1.33531	1453	0	14
2024.01.08	23:00:00	1.33531	1.33538	1.33447	1.33460	470	0	16
2024.01.09	00:00:00	1.33413	1.33496	1.33413	1.33488	576	0	17
2024.01.09	01:00:00	1.33490	1.33519	1.33474	1.33502	472	0	14
2024.01.09	02:00:00	1.33504	1.33514	1.33443	1.33469	1003	0	15
2024.01.09	03:00:00	1.33469	1.33529	1.33467	1.33479	1039	0	14
2024.01.09	04:00:00	1.33479	1.33479	1.33398	1.33458	948	0	15
2024.01.09	05:00:00	1.33457	1.33494	1.33427	1.33479	729	0	14
2024.01.09	06:00:00	1.33479	1.33555	1.33474	1.33542	706	0	15
2024.01.09	07:00:00	1.33542	1.33631	1.33530	1.33620	853	0	14
2024.01.09	08:00:00	1.33621	1.33637	1.33581	1.33617	931	0	16
2024.01.09	09:00:00	1.33619	1.33643	1.33526	1.33543	1349	0	14
2024.01.09	10:00:00	1.33544	1.33684	1.33542	1.33614	1954	0	14
2024.01.09	11:00:00	1.33613	1.33665	1.33489	1.33527	1432	0	14
2024.01.09	12:00:00	1.33526	1.33686	1.33507	1.33662	1356	0	14
2024.01.09	13:00:00	1.33663	1.33775	1.33653	1.33739	1234	0	14
2024.01.09	14:00:00	1.33737	1.33770	1.33598	1.33617	904	0	14
2024.01.09	15:00:00	1.33617	1.33752	1.33517	1.33707	2810	0	14
2024.01.09	16:00:00	1.33706	1.34011	1.33667	1.33941	3489	0	14
2024.01.09	17:00:00	1.33940	1.34137	1.33906	1.34016	2932	0	14
2024.01.09	18:00:00	1.34016	1.34051	1.33855	1.33856	2006	0	14
2024.01.09	19:00:00	1.33856	1.33995	1.33833	1.33904	1786	0	14
2024.01.09	20:00:00	1.33905	1.34000	1.33838	1.33929	2032	0	14
2024.01.09	21:00:00	1.33928	1.34029	1.33918	1.33945	1911	0	14
2024.01.09	22:00:00	1.33945	1.34008	1.33902	1.33980	1941	0	14
2024.01.09	23:00:00	1.33980	1.33982	1.33865	1.33882	518	0	16
2024.01.10	00:00:00	1.33841	1.33916	1.33841	1.33894	349	0	33
2024.01.10	01:00:00	1.33893	1.33929	1.33882	1.33889	471	0	16
2024.01.10	02:00:00	1.33889	1.33889	1.33835	1.33868	984	0	14
2024.01.10	03:00:00	1.33868	1.33873	1.33806	1.33813	1308	0	14
2024.01.10	04:00:00	1.33812	1.33825	1.33766	1.33805	990	0	14
2024.01.10	05:00:00	1.33805	1.33836	1.33765	1.33819	1005	0	14
2024.01.10	06:00:00	1.33819	1.33843	1.33797	1.33814	602	0	14
2024.01.10	07:00:00	1.33814	1.33833	1.33797	1.33806	878	0	15
2024.01.10	08:00:00	1.33807	1.33940	1.33807	1.33923	1005	0	14
2024.01.10	09:00:00	1.33922	1.33928	1.33818	1.33846	1251	0	14
2024.01.10	10:00:00	1.33845	1.33896	1.33745	1.33755	1664	0	14
2024.01.10	11:00:00	1.33753	1.33774	1.33655	1.33703	1352	0	14
2024.01.10	12:00:00	1.33703	1.33721	1.33645	1.33704	1190	0	14
2024.01.10	13:00:00	1.33703	1.33776	1.33664	1.33741	952	0	14
2024.01.10	14:00:00	1.33741	1.33816	1.33661	1.33802	1052	0	14
2024.01.10	15:00:00	1.33802	1.33890	1.33779	1.33838	2067	0	14
2024.01.10	16:00:00	1.33838	1.33848	1.33727	1.33818	2755	0	14
2024.01.10	17:00:00	1.33819	1.33862	1.33718	1.33796	3014	0	14
