<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	00:00:00	0.81677	0.81793	0.81635	0.81667	213	0	13
2025.06.23	01:00:00	0.81674	0.81856	0.81647	0.81813	2510	0	14
2025.06.23	02:00:00	0.81807	0.81844	0.81723	0.81773	1663	0	14
2025.06.23	03:00:00	0.81770	0.81942	0.81731	0.81860	3982	0	12
2025.06.23	04:00:00	0.81859	0.81936	0.81827	0.81856	3069	0	12
2025.06.23	05:00:00	0.81858	0.81862	0.81711	0.81754	2159	0	12
2025.06.23	06:00:00	0.81753	0.81796	0.81730	0.81764	2509	0	12
2025.06.23	07:00:00	0.81764	0.81829	0.81752	0.81809	2113	0	12
2025.06.23	08:00:00	0.81807	0.81824	0.81702	0.81717	2134	0	12
2025.06.23	09:00:00	0.81717	0.81752	0.81643	0.81652	2343	0	12
2025.06.23	10:00:00	0.81649	0.81743	0.81579	0.81681	2676	0	12
2025.06.23	11:00:00	0.81681	0.81805	0.81647	0.81788	2028	0	12
2025.06.23	12:00:00	0.81788	0.81906	0.81743	0.81810	2613	0	12
2025.06.23	13:00:00	0.81810	0.81900	0.81759	0.81853	2284	0	12
2025.06.23	14:00:00	0.81853	0.81873	0.81724	0.81752	2441	0	12
2025.06.23	15:00:00	0.81752	0.81934	0.81725	0.81821	2822	0	12
2025.06.23	16:00:00	0.81822	0.81870	0.81677	0.81724	3023	0	12
2025.06.23	17:00:00	0.81723	0.81745	0.81273	0.81366	4815	0	12
2025.06.23	18:00:00	0.81365	0.81401	0.81216	0.81329	3029	0	12
2025.06.23	19:00:00	0.81330	0.81434	0.81250	0.81304	2891	0	12
2025.06.23	20:00:00	0.81305	0.81343	0.81189	0.81226	2651	0	12
2025.06.23	21:00:00	0.81225	0.81260	0.81152	0.81237	2128	0	12
2025.06.23	22:00:00	0.81235	0.81241	0.81175	0.81177	1396	0	12
2025.06.23	23:00:00	0.81177	0.81275	0.81146	0.81251	726	0	12
2025.06.24	00:00:00	0.81157	0.81215	0.81056	0.81150	256	0	70
2025.06.24	01:00:00	0.81167	0.81257	0.81165	0.81234	1435	0	12
2025.06.24	02:00:00	0.81234	0.81272	0.81164	0.81263	1589	0	13
2025.06.24	03:00:00	0.81264	0.81306	0.81148	0.81208	2488	0	12
2025.06.24	04:00:00	0.81208	0.81295	0.81152	0.81289	2681	0	12
2025.06.24	05:00:00	0.81290	0.81296	0.81183	0.81199	2158	0	13
2025.06.24	06:00:00	0.81197	0.81199	0.81118	0.81159	1536	0	12
2025.06.24	07:00:00	0.81159	0.81189	0.81125	0.81175	1622	0	14
2025.06.24	08:00:00	0.81175	0.81212	0.81112	0.81112	1852	0	12
2025.06.24	09:00:00	0.81112	0.81187	0.81039	0.81160	2513	0	12
2025.06.24	10:00:00	0.81160	0.81252	0.81123	0.81177	2635	0	12
2025.06.24	11:00:00	0.81177	0.81202	0.81110	0.81128	2669	0	12
2025.06.24	12:00:00	0.81133	0.81136	0.80972	0.81013	2087	0	12
2025.06.24	13:00:00	0.81014	0.81072	0.80999	0.81014	1278	0	12
2025.06.24	14:00:00	0.81015	0.81024	0.80847	0.80848	1957	0	12
2025.06.24	15:00:00	0.80851	0.80941	0.80784	0.80815	2370	0	12
2025.06.24	16:00:00	0.80818	0.80941	0.80773	0.80799	3010	0	12
2025.06.24	17:00:00	0.80798	0.80835	0.80405	0.80523	4229	0	12
2025.06.24	18:00:00	0.80524	0.80531	0.80390	0.80491	2621	0	12
2025.06.24	19:00:00	0.80491	0.80566	0.80391	0.80408	1664	0	12
2025.06.24	20:00:00	0.80409	0.80445	0.80341	0.80423	1334	0	12
2025.06.24	21:00:00	0.80423	0.80441	0.80360	0.80434	1022	0	12
2025.06.24	22:00:00	0.80435	0.80516	0.80420	0.80511	1076	0	12
2025.06.24	23:00:00	0.80510	0.80549	0.80500	0.80504	505	0	12
2025.06.25	00:00:00	0.80432	0.80530	0.80431	0.80470	623	0	26
2025.06.25	01:00:00	0.80469	0.80561	0.80469	0.80520	607	0	13
2025.06.25	02:00:00	0.80516	0.80527	0.80462	0.80513	433	0	12
2025.06.25	03:00:00	0.80514	0.80524	0.80441	0.80451	1274	0	12
2025.06.25	04:00:00	0.80451	0.80517	0.80421	0.80455	2033	0	13
